game,algo,seed,final_duality_gap,gap_log_linear_rate,final_tv_a,final_tv_b,final_entropy_a,csv_path
rps3,vanilla,0,0.7998904171332806,3.374643398955742e-05,0.6666666666649249,0.6665296879671423,4.903570495513363e-11,exact_gradient\rps3\vanilla_seed0.csv
rps3,vanilla,1,0.7999996800648874,4.217034449807202e-05,0.6666666660720867,0.6666662670390247,1.3229213614451639e-08,exact_gradient\rps3\vanilla_seed1.csv
rps3,vanilla,2,0.634715217641231,4.3421307702650994e-05,0.6666666666666649,0.4600606847248131,7.556331990956471e-14,exact_gradient\rps3\vanilla_seed2.csv
rps3,vanilla,3,0.7999999597522693,3.65992421222317e-05,0.6666666616247717,0.6666666188765393,1.0138277767784975e-07,exact_gradient\rps3\vanilla_seed3.csv
rps3,vanilla,4,0.7973817839237713,4.147035553187042e-05,0.6666666666666269,0.66012112802656,1.282783681053473e-12,exact_gradient\rps3\vanilla_seed4.csv
rps3,nash_md,0,3.867276869110962e-16,-0.006115632846635146,2.498001805406602e-16,3.608224830031759e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed0.csv
rps3,nash_md,1,3.4231876592608995e-16,-0.006053214774794507,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed1.csv
rps3,nash_md,2,3.7562545666484463e-16,-0.0057956649863474385,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed2.csv
rps3,nash_md,3,4.0708177569589076e-16,-0.006064110393509872,3.3306690738754696e-16,2.498001805406602e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed3.csv
rps3,nash_md,4,3.848773152033876e-16,-0.00593212127659238,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed4.csv
rps3,slingshot,0,1.03990889973223e-15,-0.014676676780636715,7.494005416219807e-16,9.159339953157541e-16,1.0986122886681096,exact_gradient\rps3\slingshot_seed0.csv
rps3,slingshot,1,3.23815048849004e-16,-0.008802136691298226,2.498001805406602e-16,3.3306690738754696e-16,1.0986122886681096,exact_gradient\rps3\slingshot_seed1.csv
rps3,slingshot,2,6.291263806209221e-16,-0.007810338887779905,4.440892098500626e-16,6.106226635438361e-16,1.0986122886681098,exact_gradient\rps3\slingshot_seed2.csv
rps3,slingshot,3,4.644432986348572e-16,-0.008455951877471949,3.885780586188048e-16,3.885780586188048e-16,1.0986122886681096,exact_gradient\rps3\slingshot_seed3.csv
rps3,slingshot,4,6.235752654977963e-16,-0.008531204651858372,5.273559366969494e-16,5.273559366969494e-16,1.0986122886681098,exact_gradient\rps3\slingshot_seed4.csv
rps3,vanilla,0,0.7967583993951348,7.356585465494916e-06,0.6585626659758952,0.6666666666666304,0.04709507233276571,stochastic_gradient\rps3\vanilla_seed0.csv
rps3,vanilla,1,0.7999978382219077,6.9105809767879295e-06,0.6666666665613626,0.6666612624433925,2.525464609988321e-09,stochastic_gradient\rps3\vanilla_seed1.csv
rps3,vanilla,2,0.7980772216377936,1.808641412264751e-05,0.6666666666666229,0.6618597224429486,1.4042649554732218e-12,stochastic_gradient\rps3\vanilla_seed2.csv
rps3,vanilla,3,0.7974471902382738,1.3851785733324518e-05,0.6666666666665404,0.6634756543254259,3.9200265000122625e-12,stochastic_gradient\rps3\vanilla_seed3.csv
rps3,vanilla,4,0.6906669816828842,5.057095367292368e-06,0.6666666666666649,0.3933341254432875,7.346626072245904e-14,stochastic_gradient\rps3\vanilla_seed4.csv
rps3,nash_md,0,0.12300280681349009,-2.434192837236133e-07,0.08531463700881972,0.11471052424697624,1.0809221407944816,stochastic_gradient\rps3\nash_md_seed0.csv
rps3,nash_md,1,0.08765486635362876,5.569111151230928e-06,0.05792653511908147,0.11389618403176471,1.091189995019626,stochastic_gradient\rps3\nash_md_seed1.csv
rps3,nash_md,2,0.07657413912394423,2.275276931236501e-05,0.05357346215738201,0.08417985351706048,1.0919353067263682,stochastic_gradient\rps3\nash_md_seed2.csv
rps3,nash_md,3,0.18580581178144326,-5.345488619672692e-06,0.18416084644843728,0.06665864646496167,0.997664613218103,stochastic_gradient\rps3\nash_md_seed3.csv
rps3,nash_md,4,0.1470621262153434,-3.893245566893824e-06,0.08386996600714347,0.1090118537979066,1.0809383606877128,stochastic_gradient\rps3\nash_md_seed4.csv
rps3,slingshot,0,0.22134555996981775,-0.00011486938275981068,0.059662638071875496,0.281844413701008,1.0908089499476623,stochastic_gradient\rps3\slingshot_seed0.csv
rps3,slingshot,1,0.0989202508615239,-3.916771150919844e-06,0.0730644588706432,0.09725624738547262,1.08598069410748,stochastic_gradient\rps3\slingshot_seed1.csv
rps3,slingshot,2,0.18783054107579897,-1.879042791857798e-05,0.1441287988489512,0.1630326930313813,1.0441513067647064,stochastic_gradient\rps3\slingshot_seed2.csv
rps3,slingshot,3,0.21210744889858035,-6.842132767657956e-06,0.20786353687550158,0.198871445480001,0.982528920514844,stochastic_gradient\rps3\slingshot_seed3.csv
